                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8766,                0.83091,                0.99104,                 2.1445,             0.00023557,             0.00023557,             0.00023557
                      2,                0.42726,                0.87682,                0.99776,                 1.9985,             0.00046419,             0.00046419,             0.00046419
                      3,                0.22201,                0.87346,                0.99776,                 1.9902,             0.00068339,             0.00068339,             0.00068339
                      4,                0.13677,                0.89698,                0.99552,                 1.9542,             0.00067159,             0.00067159,             0.00067159
                      5,                0.09611,                0.88354,                0.99888,                 1.9536,             0.00067159,             0.00067159,             0.00067159
                      6,                0.05889,                0.89138,                0.99888,                 1.9461,             0.00065745,             0.00065745,             0.00065745
                      7,                0.05073,                 0.8869,                0.99888,                 1.9392,             0.00064331,             0.00064331,             0.00064331
                      8,                0.04296,                0.89922,                0.99888,                 1.9359,             0.00062918,             0.00062918,             0.00062918
                      9,                0.02522,                0.91265,                0.99776,                 1.9227,             0.00061504,             0.00061504,             0.00061504
                     10,                0.02334,                0.90929,                      1,                 1.9214,              0.0006009,              0.0006009,              0.0006009
                     11,                0.02435,                0.91265,                      1,                 1.9175,             0.00058677,             0.00058677,             0.00058677
                     12,                0.02074,                0.90034,                0.99888,                  1.928,             0.00057263,             0.00057263,             0.00057263
                     13,                0.01659,                0.91825,                      1,                  1.909,             0.00055849,             0.00055849,             0.00055849
                     14,                0.00773,                0.92497,                      1,                 1.9038,             0.00054435,             0.00054435,             0.00054435
                     15,                0.01457,                0.91601,                0.99664,                 1.9141,             0.00053022,             0.00053022,             0.00053022
                     16,                0.00926,                0.92049,                0.99776,                 1.9106,             0.00051608,             0.00051608,             0.00051608
                     17,                0.00605,                0.91713,                0.99888,                 1.9105,             0.00050194,             0.00050194,             0.00050194
                     18,                0.00554,                0.91713,                0.99776,                 1.9097,              0.0004878,              0.0004878,              0.0004878
                     19,                0.00628,                0.90929,                0.99776,                 1.9206,             0.00047367,             0.00047367,             0.00047367
                     20,                0.00795,                0.91377,                0.99776,                 1.9108,             0.00045953,             0.00045953,             0.00045953
                     21,                0.01113,                0.92497,                0.99888,                 1.9056,             0.00044539,             0.00044539,             0.00044539
                     22,                0.00555,                0.91041,                0.99664,                 1.9119,             0.00043126,             0.00043126,             0.00043126
                     23,                0.00384,                0.91825,                0.99776,                 1.9089,             0.00041712,             0.00041712,             0.00041712
                     24,                0.00425,                0.92049,                0.99888,                 1.9095,             0.00040298,             0.00040298,             0.00040298
                     25,                0.00237,                0.92049,                0.99888,                 1.9056,             0.00038884,             0.00038884,             0.00038884
                     26,                0.00217,                0.91937,                0.99888,                 1.9044,             0.00037471,             0.00037471,             0.00037471
                     27,                0.00194,                0.91713,                0.99888,                 1.9057,             0.00036057,             0.00036057,             0.00036057
                     28,                0.00142,                0.91601,                0.99888,                  1.905,             0.00034643,             0.00034643,             0.00034643
                     29,                0.00149,                0.91937,                0.99888,                 1.9044,              0.0003323,              0.0003323,              0.0003323
                     30,                0.00105,                0.91937,                0.99888,                 1.9032,             0.00031816,             0.00031816,             0.00031816
                     31,                0.00097,                0.92273,                0.99888,                 1.9012,             0.00030402,             0.00030402,             0.00030402
                     32,                0.00084,                0.92385,                0.99888,                 1.9028,             0.00028988,             0.00028988,             0.00028988
                     33,                0.00097,                0.92497,                0.99888,                 1.9004,             0.00027575,             0.00027575,             0.00027575
                     34,                0.00135,                0.91713,                0.99888,                 1.9055,             0.00026161,             0.00026161,             0.00026161
                     35,                0.00296,                0.91601,                0.99776,                 1.9092,             0.00024747,             0.00024747,             0.00024747
                     36,                0.00138,                0.92609,                0.99888,                 1.9021,             0.00023334,             0.00023334,             0.00023334
                     37,                0.00135,                0.92049,                0.99888,                 1.9044,              0.0002192,              0.0002192,              0.0002192
                     38,                0.00102,                0.92161,                0.99888,                 1.9008,             0.00020506,             0.00020506,             0.00020506
                     39,                0.00131,                0.91825,                0.99888,                 1.9029,             0.00019092,             0.00019092,             0.00019092
                     40,                0.00131,                0.91937,                0.99888,                 1.9027,             0.00017679,             0.00017679,             0.00017679
                     41,                0.00087,                0.92049,                0.99888,                 1.9019,             0.00016265,             0.00016265,             0.00016265
                     42,                0.00142,                0.91713,                0.99888,                 1.9051,             0.00014851,             0.00014851,             0.00014851
                     43,                0.00068,                0.92385,                0.99888,                 1.9022,             0.00013437,             0.00013437,             0.00013437
                     44,                0.00081,                0.92161,                0.99888,                 1.9017,             0.00012024,             0.00012024,             0.00012024
                     45,                0.00119,                0.91825,                0.99888,                 1.9048,              0.0001061,              0.0001061,              0.0001061
                     46,                0.00103,                0.92721,                0.99888,                 1.9005,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.00194,                0.92049,                0.99888,                 1.9013,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.00093,                0.91937,                0.99888,                 1.9032,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.00075,                0.92161,                0.99888,                 1.9037,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.00113,                0.91825,                0.99888,                 1.9039,             3.5414e-05,             3.5414e-05,             3.5414e-05
